postId,url,time,text,likes,shares,comments,isVideo,viewsCount
883736060454757,https://www.facebook.com/reel/291226737410233/,2024-07-17T13:09:50.000Z,said key took pretty seriously style spotlight july edition magnify fun little one resort shirt matching short maxfashion stylespotlight coord set kid fashion resort shirt magnified print,21,1,2.0,True,863.0
883110283850668,https://www.facebook.com/reel/857779889048268/,2024-07-16T12:39:18.000Z,ditch bag keep swag oversized utility shirt ftw grab faves nearest max fashion store maxfashion stylespotlight oversized utility shirt teen fashion,16,0,,True,486.0
882480400580323,https://www.facebook.com/reel/396363466784869/,2024-07-15T12:32:23.000Z,look got add extra oomph look textured woven fit even grayest day also take moment take closer look print grab em nearest max fashion store maxfashion stylespotlight textured woven woman fashion product month printed top,16,0,4.0,True,764.0
881775547317475,https://www.facebook.com/reel/3764511503822552/,2024-07-14T08:18:57.000Z,toasty hot straight outta oven discover epic style deal straight outta wishlist 299 youre still rush nearest max fashion store today maxfashion maxmaniasale last call max mania sale end season sale woman fashion price drop alert,703,0,3.0,True,33188.0
881296807365349,https://www.facebook.com/reel/1028470402613107/,2024-07-13T12:54:20.000Z,nothing glimpse whats waiting max mania sale weekend here secret theyre head nearest max fashion store grab top pick maxfashion maxmaniasale last call max mania sale end season sale kid fashion price drop alert,3144,1,2.0,True,229857.0
880515244110172,https://www.facebook.com/reel/1553146405237019/,2024-07-12T05:40:28.000Z,got shuffling beat fit paaldabbaiam rebleofficial agsyworld yelhomie here mic drop shuffleitup anthem cant wait yall groove credit paaldabbaiam rebleofficial agsyworld yelhomie maxurbn urbn maxfashion shuffleitup,13075,5,13.0,True,530141.0
880489547446075,https://www.facebook.com/maxfashions/posts/1150822509584586:1150822509584586,2024-07-12T04:43:21.000Z,,20,0,3.0,False,
880448364116860,https://www.facebook.com/reel/1407201166637103/,2024-07-12T03:02:29.000Z,stepping weekend bag style shoe seal deal grab em 299 max mania sale nearest max fashion store maxfashion maxmaniasale price drop alert end season sale bag shoe,729,2,,True,38121.0
880197314141965,https://www.facebook.com/reel/1508846683049769/,2024-07-11T15:53:50.000Z,pov finally decided feed soul pampering deserves max mania sale grab everything wishlist nearest max fashion store todaymaxfashion maxmaniasale,349,1,,True,22708.0
880106034151093,https://www.facebook.com/reel/1021004106294073/,2024-07-11T12:38:49.000Z,time almost score epic deal max mania sale shop latest style disappear deal 299 good let slip away head nearest max fashion store weekend maxfashion maxmaniasale last call max mania sale end season sale woman fashion,660,1,2.0,True,42848.0
