,link,text,user,likes,quotes,retweets,comments
88,https://twitter.com/maxfashionindia/status/1718296218710020494#m,netherlands like windmill tulip cricket domination sent bangladesh canal cruise wont forget maxunbelievable scene worldcup2023 maxfashion nedvban,Max Fashion India,12,0,3,3
89,https://twitter.com/maxfashionindia/status/1718235013035221337#m,rahul sachin rachin beauty absolutely maxunbelievable meanwhile place maxunbelievable style click link maxfashion ausvsnz,Max Fashion India,11,1,3,3
90,https://twitter.com/maxfashionindia/status/1717182448398717334#m,whats unbelievable glen maxwell 40ball century jawdropping fashion decide weve got covered maxfashion maxunbelievable ausvned fashionfever,Max Fashion India,10,0,2,2
91,https://twitter.com/maxfashionindia/status/1716490460364194272#m,post future afghanistan served pakistan fashionably late defeat world cup unbelievable fashionably fabulous something unbelievable participate maxfashion maxunbelievable pakvsafg,Max Fashion India,12,0,5,3
92,https://twitter.com/maxfashionindia/status/1714312743912972494#m,absolutely maxunbelievable scene word cup 23 like style watch thr unbelievable maxfashion worldcup2023 nedvssa,Max Fashion India,19,0,6,6
93,https://twitter.com/maxfashionindia/status/1713450746195399155#m,unbelievable contest alert stand chance win iphone 15 comment caption image tag 3 friend use maxunbelievable retweet unbelievable film last date 24th oct tc surllimdxip maxfashion maxunbelievable contestalert,Max Fashion India,191,11,153,182
94,https://twitter.com/maxfashionindia/status/1713177307752575016#m,unbelievably fast pakistan lost wicket unbelievable style flying shelf incredibly fast watch unbelievable maxfashion maxunbelievable,Max Fashion India,17,2,4,0
95,https://twitter.com/maxfashionindia/status/1713166027947991068#m,witnessed maxunbelievable magic trick pakistan cricket team made wicket disappear faster say abracadabra time witness max fashion unbelievable style watch indiavspakistan,Max Fashion India,22,2,14,4
96,https://twitter.com/maxfashionindia/status/1713154293627523166#m,indian bowler absolute maxunbelievable roll meanwhile something absolutely unbelievable watch maxfashion maxunbelievable indiavspak,Max Fashion India,17,0,11,1
97,https://twitter.com/maxfashionindia/status/1713122732647629259#m,thought couldnt get unbelievable film take another level hilarious yes unbelievable get ready awestruck watch share maxfashion maxunbelievable maxstyleminprice,Max Fashion India,29,7,21,6
98,https://twitter.com/maxfashionindia/status/1712698888661123465#m,believe u say havent seen anything unbelievable piece absolute hilarity take unexpected turn watch retweet maxfashion maxunbelievable maxstyleminprice,Max Fashion India,18,7,13,5
99,https://twitter.com/maxfashionindia/status/1689841831368937473#m,stick single choice get 1 1 celebrate spirit freedom fashion max fashion exclusive buy 1 get 1 free live max fashion store near online rush offer valid 11 aug 15 aug maxfashion buy1get1free,Max Fashion India,19,0,4,29
